principal_component_1,principal_component_2
-1.2241928305381098,-0.10738772606133642
-1.7055855334075753,-2.5765798267341022
10.995903494730621,-3.881415930143583
209.7294151717227,-32.97638169944589
0.3160554783525339,-6.126260419812175
-2.4590333066083545,-2.175322430246701
-2.525537062359605,-0.6986125678821331
11.000632945768132,-3.909219885411206
-1.8159669050241087,-1.01250986327483
10.993657433104826,-3.8449177338940412
-1.7057793272604997,-0.7787419508092015
-1.8515728380075946,-1.8829349899227263
10.99352296758105,-3.8701091222403923
11.009035638467777,-3.9369136510480995
-0.5680857745105161,-0.9486707848995855
-0.4123397566417354,2.648806802354441
11.009035638467777,-3.9369136510480995
11.009035638467777,-3.9369136510480995
6.587905584819836,6.831994771075777
7.692663698373223,8.886420051385718
0.17903559405300612,-1.3001138111705548
-1.0447051004938135,0.9080500473357452
-1.674691823647878,-0.05362408837373705
-1.4163615874375555,-1.4442881330267894
-2.3839375477969083,-0.09385537010669723
-2.426641399717186,-2.3204408936060945
-1.5770775869401006,-3.0146335334368795
-1.144347061935196,12.271562245830719
-1.7525692559420838,-2.510873788551398
-2.108446963289113,0.15296441484531012
10.998627900743495,-3.9910396256109517
-2.602400326763746,-0.5093901100593035
-1.715198621773217,-0.9008939616988855
-1.5058222313326899,4.606683952137573
-0.7279878744874066,-0.33761624469822293
10.99819407232711,-3.8966439317360027
-1.834652038705477,-2.343196964606311
-2.48571520852209,-2.230398730096394
-1.6279120143347843,-0.8982926455160359
-1.104236720752493,-1.0583729539005693
-2.309463083278699,-1.4409294841385545
11.000632945768132,-3.909219885411206
-2.4135396777842324,-2.079891660253213
-0.5410294528490789,2.5335298790526832
-2.1843740189978402,1.5422187335599322
-0.8137944396583606,2.883302219859997
-1.796210087993594,-2.3937456069740697
-0.6373398662925622,0.7872038027615712
11.001209033216071,-3.897575110925554
11.000632945768132,-3.909219885411206
0.2419265455783244,-0.5543162557991983
-1.8972312250008483,-0.03485323325761896
-1.9374776869046313,0.8520944494372785
-0.9508844835617242,1.1668977426958929
-0.1518259317857086,-1.138499258243417
0.1625340719868537,-0.6430841256281924
15.365408694264977,4.394687872137239
0.6170169105213021,1.1926989906231666
-2.4517832964871022,-2.0841292717322304
-0.03479170853360763,0.004288754141262594
-1.810722829502976,0.02405572316204628
-2.18723100952316,1.1479696396478907
-2.405155095812563,-1.6069545446840041
-0.9435133643337174,1.4388220702590964
-1.6198986088997251,-2.4270378614254926
-0.34098038053513385,0.42471442226606065
-2.55052972866674,-2.1720052471440603
11.000632945768132,-3.909219885411206
-2.575603327507234,0.9099490739631033
10.996654127497687,-3.871104251920912
11.002401933704899,-3.9150501518610774
-2.0819124644320217,-1.0089775735841895
-1.7457530453467958,-2.3033018834556684
1.8429999822429133,2.5930893084292466
-1.72350358516611,-2.664095162127397
10.991897528763738,-3.8695913228193173
-0.5233243746738527,-1.4506996255585938
-0.9016295114428308,-0.24159583778356578
-1.66110503763354,-2.6725669095356657
11.000632945768132,-3.909219885411206
-1.7643566244630244,-2.7775527592513383
-1.8404803034863537,-1.5280732858427817
-2.5205681210866424,3.749650602714911
-2.006363652359547,-1.5929094768416305
-1.6050504113711157,-2.4448578641184406
11.000632945768132,-3.909219885411206
-1.7094603578613436,-1.9905379421917166
-1.9359017927250866,-1.7535583538628976
-2.1978418500789636,-1.049274692023355
-2.1317041213790744,-2.1089252348014087
11.000632945768132,-3.909219885411206
-0.8915098055880808,0.9257206238187994
2.7974274956118133,3.495687484680249
-0.9689027595134025,0.7669464781982334
10.97975135079591,-3.8908431582755854
-1.5811478972464716,6.000318906685347
-0.030173000063819032,3.1469581785057206
-0.12186357962161988,1.555204938828439
-2.125692612612867,2.907330297896705
-2.3290396891399263,-0.8439532431225949
0.3121419121588962,-6.117457660101984
7.9990231644620975,8.418152209403543
-1.7166431965987652,2.512019207620803
-2.221345477369872,-0.7219710738135398
11.000632945768132,-3.909219885411206
10.99196237483742,-3.869622644064361
-1.7947707890238558,-2.571349912670292
-2.2539321527315312,-2.3931138326960486
-2.2262961704766755,-1.656175242563819
5.676054246741541,3.1433900839612368
11.002844180689088,-3.9165077184735457
-2.5495866894035237,-0.5548013606704904
11.009035638467777,-3.9369136510480995
-1.8934444648114979,-1.3200912367206559
11.000632945768132,-3.909219885411206
-0.7946655122632463,4.029915764141871
-1.6437932452951989,-1.4813443432577569
-1.7778725246474385,-2.1435303274959594
-0.7925689131700693,-0.35079631146898616
-0.8320766554435444,2.82060316510913
10.996654127497687,-3.871104251920912
0.9559612876887239,-1.9797436744152943
-2.5391802808771304,5.317367591090209
